Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
TW,,,,5.00%,Taiwan VAT,1,0,1,
UA,,,,20.00%,Ukraine VAT,1,0,1,
UK,,,,20.00%,United Kingdom VAT,1,0,1,
US,AL,,,4.00%,AL State Tax,1,0,1,
US,AK,,,0.00%,AK State Tax,1,0,1,
US,AZ,,,5.60%,AZ State Tax,1,0,1,
US,AR,,,6.50%,AR State Tax,1,0,1,
US,CA,,,7.25%,CA State Tax,1,0,1,
US,CO,,,2.90%,CO State Tax,1,0,1,
US,CT,,,6.35%,CT State Tax,1,0,1,
US,DE,,,0.00%,DE State Tax,1,0,1,
US,FL,,,6.00%,FL State Tax,1,0,1,
US,GA,,,4.00%,GA State Tax,1,0,1,
US,HI,,,4.00%,HI State Tax,1,0,1,
US,ID,,,6.00%,ID State Tax,1,0,1,
US,IL,,,6.25%,IL State Tax,1,0,1,
US,IN,,,7.00%,IN State Tax,1,0,1,
US,IA,,,6.00%,IA State Tax,1,0,1,
US,KS,,,6.50%,KS State Tax,1,0,1,
US,KY,,,6.00%,KY State Tax,1,0,1,
US,LA,,,4.45%,LA State Tax,1,0,1,
US,ME,,,5.50%,ME State Tax,1,0,1,
US,MD,,,6.00%,MD State Tax,1,0,1,
US,MA,,,6.25%,MA State Tax,1,0,1,
US,MI,,,6.00%,MI State Tax,1,0,1,
US,MN,,,6.875%,MN State Tax,1,0,1,
US,MS,,,7.00%,MS State Tax,1,0,1,
US,MO,,,4.225%,MO State Tax,1,0,1,
US,MT,,,0.00%,MT State Tax,1,0,1,
US,NE,,,5.50%,NE State Tax,1,0,1,
US,NV,,,6.85%,NV State Tax,1,0,1,
US,NH,,,0.00%,NH State Tax,1,0,1,
US,NJ,,,6.625%,NJ State Tax,1,0,1,
US,NM,,,5.125%,NM State Tax,1,0,1,
US,NY,,,4.00%,NY State Tax,1,0,1,
US,NC,,,4.75%,NC State Tax,1,0,1,
US,ND,,,5.00%,ND State Tax,1,0,1,
US,OH,,,5.75%,OH State Tax,1,0,1,
US,OK,,,4.50%,OK State Tax,1,0,1,
US,OR,,,0.00%,OR State Tax,1,0,1,
US,PA,,,6.00%,PA State Tax,1,0,1,
US,RI,,,7.00%,RI State Tax,1,0,1,
US,SC,,,6.00%,SC State Tax,1,0,1,
US,SD,,,4.00%,SD State Tax,1,0,1,
US,TN,,,7.00%,TN State Tax,1,0,1,
US,TX,,,6.25%,TX State Tax,1,0,1,
US,UT,,,5.85%,UT State Tax,1,0,1,
US,VT,,,6.00%,VT State Tax,1,0,1,
US,VA,,,4.30%,VA State Tax,1,0,1,
US,WA,,,6.50%,WA State Tax,1,0,1,
US,WV,,,6.00%,WV State Tax,1,0,1,
US,WI,,,5.00%,WI State Tax,1,0,1,
US,WY,,,4.00%,WY State Tax,1,0,1,
VE,,,,16.00%,Venezuela VAT,1,0,1,
VN,,,,10.00%,Vietnam VAT,1,0,1,
WS,,,,15.00%,Samoa VAT,1,0,1,
ZA,,,,15.00%,South Africa VAT,1,0,1,
